employee_id,last_name,first_name,birth_date,business_unit,hire_date,annual_gross_salary,contract_type,paid_leave_days,home_address,commute_mode
59019,Colin,Audrey,1990-07-06,Marketing,2020-12-14,30940.0,CDI,29.0,"128 Rue du Port, 34000 Frontignan",Transports en commun
19841,Ledoux,Monique,1962-01-06,R&D,2020-07-07,74360.0,CDI,26.0,"68 Rue du Port, 34970 Saint-Clément-de-Rivière",véhicule thermique/électrique
56482,Dumont,Michelle,1976-08-09,Ventes,2022-03-29,51390.0,CDI,27.0,"100 Av. de la Gare, 30900 Nîmes",véhicule thermique/électrique
21886,Toussaint,Judith,1962-09-10,Support,2021-12-12,70320.0,CDI,29.0,"53 Av. de la Gare, 34970 Lattes",Marche/running
81001,Bailly,Michelle,1975-04-20,Ventes,2025-02-19,46870.0,CDD,29.0,"74 Rue des Fleurs, 34970 Lattes",Marche/running
17757,Bazin,Margaret,1982-11-24,Support,2023-04-17,31460.0,CDI,25.0,"Av. de La Mer, 34470 Pérols",Vélo/Trottinette/Autres
17036,Jacques,Julien,1970-12-19,Marketing,2021-08-21,72480.0,CDI,29.0,"28 Rue du Port, 34140 Mèze",véhicule thermique/électrique
36913,Pons,Brigitte,1977-12-27,Finance,2020-05-26,59790.0,CDI,28.0,"169 Rue Jean Jaures, 34730 Prades-le-Lez",Transports en commun
79006,Rousset,Jérome,1979-02-01,R&D,2020-09-07,29240.0,CDI,28.0,"44 Rue Jean Jaures, 34730 Prades-le-Lez",véhicule thermique/électrique
62296,Chauvin,Zakaria,1987-10-02,Finance,2024-11-23,68680.0,CDD,26.0,"31 Av. Grassion Cibrand, 34130 Mauguio",Vélo/Trottinette/Autres
90284,Chartier,Aurélie,1999-01-26,Marketing,2025-01-02,56400.0,CDI,29.0,"136 Rue des Grottes, 34130 Mauguio",véhicule thermique/électrique
83440,Maillard,Augustin,1987-03-05,R&D,2023-10-27,31030.0,CDI,28.0,"38 Rue du Muscadet, 34090 Montpellier",Transports en commun
18246,Tessier,Francoise,1986-11-11,Ventes,2025-01-11,30680.0,CDI,28.0,"181 Av. de la Gare, 34970 Lattes",Vélo/Trottinette/Autres
33386,Neveu,Yves,1998-11-18,R&D,2020-08-14,50170.0,CDI,28.0,"24 Rue de la Cadoule, 34740 Vendargues",véhicule thermique/électrique
19773,Fischer,Benoit,1981-03-31,Support,2025-03-24,62670.0,CDI,25.0,"110 Rue de la République, 34000 Montpellier",véhicule thermique/électrique
70643,Rodriguez,Antoine,1982-03-11,Finance,2021-01-12,29440.0,CDI,26.0,"1037 Val des Sources, 34090 Montpellier",Vélo/Trottinette/Autres
