activity_id,employee_id,first_name,last_name,business_unit,contract_type,sport_type,declared_sport,activity_date,start_ts,end_ts,duration_minutes,distance_km,source
4739,96902,Nicole,Durand,Marketing,CDI,Marche,,2026-09-16,2026-09-16T10:17:47.884Z,2026-09-16T11:03:47.884Z,46.0,10.73,live
4740,34678,Astrid,Mendes,Finance,CDI,Randonnée,Randonnée,2026-09-16,2026-09-16T10:47:32.025Z,2026-09-16T11:58:32.025Z,71.0,4.57,live
4741,70643,Antoine,Rodriguez,Finance,CDI,Marche,,2026-09-16,2026-09-16T10:48:55.154Z,2026-09-16T11:19:55.154Z,31.0,2.27,live
4742,34922,Claire,Da Silva,Ventes,CDI,Tennis,Tennis,2026-09-16,2026-09-16T11:49:14.065Z,2026-09-16T12:25:14.065Z,36.0,,live
4743,29793,Marine,Chauvin,Finance,CDI,Running,Runing,2026-09-16,2026-09-16T13:26:09.011Z,2026-09-16T14:24:09.011Z,58.0,13.45,live
4744,17036,Julien,Jacques,Marketing,CDI,Escalade,Escalade,2026-09-16,2026-09-16T14:40:45.053Z,2026-09-16T15:44:45.053Z,64.0,,live
4745,12497,Gabriel_TEST2,Fontaine,DEMO-MANAGER,CDI,Tennis,Tennis,2026-07-21,2026-07-21T14:57:30.913Z,2026-07-21T16:32:36.913Z,95.1,,simulation_historical
4746,12497,Gabriel_TEST2,Fontaine,DEMO-MANAGER,CDI,Tennis,Tennis,2026-05-14,2026-05-14T08:36:30.913Z,2026-05-14T09:24:29.913Z,48.0,,simulation_historical
4747,12497,Gabriel_TEST2,Fontaine,DEMO-MANAGER,CDI,Tennis,Tennis,2025-10-04,2025-10-04T15:47:30.913Z,2025-10-04T18:36:25.913Z,168.9,,simulation_historical
4748,12497,Gabriel_TEST2,Fontaine,DEMO-MANAGER,CDI,Tennis,Tennis,2026-08-02,2026-08-02T21:17:30.913Z,2026-08-02T21:46:10.913Z,28.7,,simulation_historical
